TITLE	DOI	SPECIES	ENZYME_COMMON_NAME	ENZYME_FULL_NAME	GENBANK	UNIPROT_ID	ALT_ID	SUBSTRATE	PRODUCT
Identification and characterization of a set of monocot BAHD monolignol transferases.	10.1093/plphys/kiac035	Panicum virgatum	PvFMT	Feruloyl-CoA monolignol transferase	Pavir.3KG495300	NA	NA	p-coumaroyl-CoA;sinapyl alcohol	sinapyl p-coumarate
Identification and characterization of a set of monocot BAHD monolignol transferases.	10.1093/plphys/kiac035	Sorghum bicolor	SbFMT	Feruloyl-CoA monolignol transferase	XM_002441921.2	NA	NA	Feruloyl-CoA; p-coumaroyl-CoA; Monolignols	Monolignol ferulates; Monolignol p-coumarates
Identification and characterization of a set of monocot BAHD monolignol transferases.	10.1093/plphys/kiac035	Sorghum bicolor	SbFMT	Feruloyl-CoA monolignol transferase	XM_002441921.2	NA	NA	feruloyl-CoA;coniferyl alcohol	coniferyl ferulate
Identification and characterization of a set of monocot BAHD monolignol transferases.	10.1093/plphys/kiac035	Sorghum bicolor	SbFMT	Feruloyl-CoA monolignol transferase	XM_002441921.2	NA	NA	feruloyl-CoA;sinapyl alcohol	sinapyl ferulate
Identification and characterization of a set of monocot BAHD monolignol transferases.	10.1093/plphys/kiac035	Sorghum bicolor	SbFMT	Feruloyl-CoA monolignol transferase	XM_002441921.2	NA	NA	p-coumaroyl-CoA;coniferyl alcohol	coniferyl p-coumarate
Identification and characterization of a set of monocot BAHD monolignol transferases.	10.1093/plphys/kiac035	Sorghum bicolor	SbFMT	Feruloyl-CoA monolignol transferase	XM_002441921.2	NA	NA	p-coumaroyl-CoA;sinapyl alcohol	sinapyl p-coumarate
Identification and characterization of a set of monocot BAHD monolignol transferases.	10.1093/plphys/kiac035	Sorghum bicolor	SbPMT	p-Coumaroyl-CoA monolignol transferase	XM_002439193.2	NA	NA	p-coumaroyl-CoA; Monolignols	Monolignol p-coumarates
Identification and characterization of a set of monocot BAHD monolignol transferases.	10.1093/plphys/kiac035	Sorghum bicolor	SbPMT	p-Coumaroyl-CoA monolignol transferase	XM_002439193.2	NA	NA	p-coumaroyl-CoA;coniferyl alcohol	coniferyl p-coumarate
Identification and characterization of a set of monocot BAHD monolignol transferases.	10.1093/plphys/kiac035	Sorghum bicolor	SbPMT	p-Coumaroyl-CoA monolignol transferase	XM_002439193.2	NA	NA	p-coumaroyl-CoA;sinapyl alcohol	sinapyl p-coumarate
Identification and characterization of a set of monocot BAHD monolignol transferases.	10.1093/plphys/kiac035	Zea mays	ZmFMT	Feruloyl-CoA monolignol transferase	Zm00001d035246_T001	NA	NA	Feruloyl-CoA; p-coumaroyl-CoA; Monolignols	Monolignol ferulates; Monolignol p-coumarates
Identification and characterization of a set of monocot BAHD monolignol transferases.	10.1093/plphys/kiac035	Zea mays	ZmFMT	Feruloyl-CoA monolignol transferase	Zm00001d035246_T001	NA	NA	feruloyl-CoA;sinapyl alcohol	sinapyl ferulate
Identification and characterization of a set of monocot BAHD monolignol transferases.	10.1093/plphys/kiac035	Zea mays	ZmFMT	Feruloyl-CoA monolignol transferase	Zm00001d035246_T001	NA	NA	p-coumaroyl-CoA;coniferyl alcohol	coniferyl p-coumarate
Identification and characterization of a set of monocot BAHD monolignol transferases.	10.1093/plphys/kiac035	Zea mays	ZmFMT	Feruloyl-CoA monolignol transferase	Zm00001d035246_T001	NA	NA	p-coumaroyl-CoA;sinapyl alcohol	sinapyl p-coumarate
Identification and characterization of a set of monocot BAHD monolignol transferases.	10.1093/plphys/kiac035	Panicum virgatum	PvPMT	p-Coumaroyl-CoA monolignol transferase	XM_039943249.1	NA	NA	p-coumaroyl-CoA;coniferyl alcohol	coniferyl p-coumarate
Identification and characterization of a set of monocot BAHD monolignol transferases.	10.1093/plphys/kiac035	Panicum virgatum	PvPMT	p-Coumaroyl-CoA monolignol transferase	XM_039943249.1	NA	NA	p-coumaroyl-CoA;sinapyl alcohol	sinapyl p-coumarate
Identification and characterization of the key enzyme in the biosynthesis of the neurotoxin β-ODAP in grass pea.	10.1016/j.jbc.2022.101806	Lathyrus sativus	BOS	β-ODAP synthetase	NA	NA	NA	oxalyl-CoA	β-ODAP
Identification and characterization of the key enzyme in the biosynthesis of the neurotoxin β-ODAP in grass pea.	10.1016/j.jbc.2022.101806	Lathyrus sativus	BOS	β-ODAP synthetase	NA	NA	NA	L-DAPA	β-ODAP
Identification and characterization of the key enzyme in the biosynthesis of the neurotoxin β-ODAP in grass pea.	10.1016/j.jbc.2022.101806	Lathyrus sativus	BOS	β-ODAP synthase	NA	NA	NA	oxalyl-CoA;L-α,β-diaminopropionic acid	β-ODAP
Identification and characterization of the key enzyme in the biosynthesis of the neurotoxin β-ODAP in grass pea.	10.1016/j.jbc.2022.101806	Lathyrus sativus	BOS	β-ODAP synthase	NA	NA	NA	acetyl-CoA;L-α,β-diaminopropionic acid	NA
Identification and characterization of the key enzyme in the biosynthesis of the neurotoxin β-ODAP in grass pea.	10.1016/j.jbc.2022.101806	Lathyrus sativus	BOS	β-ODAP synthase	NA	NA	NA	malonyl-CoA;L-α,β-diaminopropionic acid	NA
Identification and characterization of the key enzyme in the biosynthesis of the neurotoxin β-ODAP in grass pea.	10.1016/j.jbc.2022.101806	Lathyrus sativus	BOS	β-ODAP synthase	NA	NA	NA	glutaryl-CoA;L-α,β-diaminopropionic acid	NA
Identification and characterization of the key enzyme in the biosynthesis of the neurotoxin β-ODAP in grass pea.	10.1016/j.jbc.2022.101806	Lathyrus sativus	OCS	oxalyl-CoA synthetase	NA	NA	NA	oxalic acid;CoA	oxalyl-CoA
